grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,nll,nll_q0,nll_q1,nll_q2,nll_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3,eval_nll,eval_nll_q0,eval_nll_q1,eval_nll_q2,eval_nll_q3
185.56980662257322,0.864889806136489,0.8637325347497544,0.8650406133121163,0.8658983019309318,0.8648041855287919,0.8648896291852,0.8637323559358203,0.8650404340784319,0.8658981231169973,0.8648040067148575,12.037120789289474,11.927397448441088,12.013502745561203,12.151358015168974,12.052620625677902,1024,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.5326922987587752,0.5353600337140024,0.5260521326936891,0.5279925708969441,0.5410725369827076,0.53269212692976,0.535359859466553,0.5260519592174847,0.5279923982918262,0.5410723615048533,5.427902005612848,5.602857201330122,5.2387028416590935,5.114154553413387,5.736170226068642
27.74717334381103,0.3533719182829376,0.3548325945132837,0.3537837814323428,0.35132024339413137,0.35351366471049134,0.3533717439044267,0.3548324196194736,0.35378360664700437,0.35132006861010845,0.35351348991867654,9.555899273976689,9.622683522366565,9.530517797596394,9.56584837629732,9.50648242900997,21504,20,,,,,,,,,,,,,,,
27.335893100252108,0.2716116343275647,0.26184234341698776,0.26619870194130985,0.27587676181418264,0.2823521261296772,0.271611463010776,0.2618421732222378,0.2661985315538754,0.2758765906048991,0.2823519547288841,4.687027749046688,4.0050973435235235,4.383577729974488,4.9594876855390915,5.389111594719276,41984,40,,,,,,,,,,,,,,,
6.4395660655265825,0.2443558425758963,0.2372782453837867,0.24037658154907246,0.24204767351168913,0.2575581528326266,0.2443556739133783,0.23727807582775245,0.24037641228217752,0.2420475050856729,0.2575579840621437,1.7530798243358707,1.2331575958763288,1.3641111593900859,1.6360583258485815,2.7711041933453355,62464,60,,,,,,,,,,,,,,,
2.4948327197927798,0.23944496660260464,0.24064356653270855,0.2420460825784482,0.23710207176442963,0.23814802640651828,0.23944479764904836,0.24064339406578056,0.2420459108186577,0.23710190243859397,0.23814786425621823,1.6269379652105296,1.1960122385135272,1.2677732184710846,1.4041358911902821,2.5881711197284805,82944,80,,,,,,,,,,,,,,,
1.887912998820813,0.23499399399152035,0.23415146072842272,0.2352326226343694,0.23684957085200645,0.23383752882379572,0.234993825643323,0.2341512905721631,0.23523245181731348,0.23684940042035105,0.23383736594410962,1.5128256388008587,1.1665794692473574,1.1941262335573188,1.3778055327320387,2.2785996102981287,103424,100,,,,,,,,,,,,,,,
6.927653744355381,0.2242025173967706,0.22163016919686881,0.2259956064491258,0.2248082587185372,0.22445088238340347,0.22420235006138664,0.2216300002712099,0.22599543647942694,0.2248080894439394,0.22445071961753701,1.808551855990663,1.500660424184812,1.5730425414345937,1.6848438421508074,2.4669992464628905,123904,120,,,,,,,,,,,,,,,
5.396570819040154,0.20312635348801103,0.20015442380633727,0.20186236187047019,0.20442422197719096,0.20586226703727234,0.2031261865516392,0.20015425369220122,0.20186219365882985,0.2044240536066023,0.20586210548994804,1.7009740722401063,1.3980856168356988,1.4821256814554118,1.6100323668445706,2.2849651940327984,144384,140,,,,,,,,,,,,,,,
4.022587950830401,0.18020140876178625,0.17797881868284088,0.17827033066688217,0.17991625185123503,0.18427579978784536,0.1802012425265276,0.17797864686676965,0.17827016043901187,0.17991608465795958,0.18427564388909654,1.5169614679645742,1.1060830321668906,1.2512158923178895,1.4416552814804626,2.208110728173924,164864,160,,,,,,,,,,,,,,,
3.550779059441768,0.16004602135508306,0.15657413793419755,0.15698873583340633,0.1613432688716894,0.1644664653964273,0.16004585599875998,0.15657396362210585,0.15698856430628724,0.16134310252181175,0.16446631394524452,1.279401740245519,0.8326923532563518,0.977677253998618,1.2266632870153003,1.9688670504726111,185344,180,,,,,,,,,,,,,,,
2.4308367243627633,0.14517455878085406,0.14287738395761215,0.142428085071704,0.14633309943320644,0.14852962992096985,0.14517439294722875,0.14287720538065954,0.14242791138326003,0.14633293257238328,0.14852948323554555,1.1153874746989454,0.6314537177523489,0.8147650207583989,1.0677659974722706,1.8332885907200778,205824,200,,,,,,,,,,,,,,,
1.9998278298511343,0.13265041662962151,0.1304248290038848,0.13107124226541841,0.1318217523527751,0.13646434942048022,0.13265025170403547,0.1304246474697942,0.13107106636899826,0.1318215876422488,0.13646420664276815,0.9701120491838073,0.41581082281138526,0.6528277614820756,0.9123824317623036,1.7263288119401659,226304,220,,,,,,,,,,,,,,,
1.7495310940426545,0.1234222261642571,0.12190250836609486,0.12147981566042458,0.12278873134770081,0.1266091920723488,0.12342206081375477,0.12190232166806171,0.12147963593208684,0.12278856707666988,0.12660905274502798,0.8556727047776805,0.2642081283283724,0.494903992441241,0.8042589012744774,1.6221650910086474,246784,240,,,,,,,,,,,,,,,
1.9507685996316193,0.11606371708912762,0.1133212938566551,0.11565744270552392,0.11692794142379076,0.11768350473677665,0.11606355212279615,0.11332110268311305,0.1156572621855209,0.11692777665461224,0.11768337039334288,0.765704311185981,0.16488421376171075,0.3954854877176679,0.7252851437793064,1.5326269020673464,267264,260,,,,,,,,,,,,,,,
1.7657015293752842,0.10891692307777694,0.10822159313621559,0.10986056346243352,0.10865116448554793,0.10893028073940618,0.10891675835009669,0.10822139745176942,0.10986038135011593,0.10865100086947953,0.10893014813249391,0.6923550348728891,0.11242324543199327,0.32142917798811904,0.6115436820505411,1.4277263097488642,287744,280,,,,,,,,,,,,,,,
1.907114674415116,0.10435420916797475,0.10257506691929322,0.10397797666955738,0.10397971837982263,0.10610939794880084,0.10435404463482201,0.10257486769209982,0.10397779502756213,0.1039795555955934,0.10610926723692433,0.6705058449299564,0.0746983989732409,0.2647054466634005,0.5737635239682488,1.432663936066685,308224,300,,,,,,,,,,,,,,,
1.529770329697951,0.09889443471329296,0.09781286996456541,0.09770717874884045,0.10032861391264977,0.09935382665122132,0.09889426915324263,0.097812665897529,0.09770699503399895,0.10032845055218587,0.09935369785121825,0.6103931649879082,0.04941566109137434,0.1902980903485313,0.5508362525592826,1.3218049486132148,328704,320,,,,,,,,,,,,,,,
1.4880320668611757,0.0956936309055892,0.09352505442376835,0.09568123611097043,0.09556263470496988,0.09713390859902042,0.09569346569478519,0.09352484760724808,0.0956810514254196,0.0955624702058605,0.09713378199390163,0.6069749794609384,0.05311461275377319,0.17047763201226523,0.48333662078987233,1.3368134160940088,349184,340,,,,,,,,,,,,,,,
1.893612620322724,0.09156869490689129,0.08978790784304527,0.08958062960576156,0.09226046044331514,0.09342959351877796,0.0915685304062206,0.08978769912064176,0.08958044465150419,0.09226029672583119,0.09342946846676989,0.5843526850105256,0.029790487268075302,0.14072394541808236,0.4598126055537363,1.3150998154948896,369664,360,,,,,,,,,,,,,,,
1.6600859213608432,0.08884578533179596,0.0876436035047216,0.08831994971194607,0.0888136215116671,0.08991568471723022,0.08884562013554385,0.08764338787933708,0.08831976276457121,0.08881345795320955,0.08991556174754735,0.56945633344003,0.018757524493524733,0.11680852067633483,0.4458634545355092,1.2846600630334852,390144,380,,,,,,,,,,,,,,,
1.406492517097345,0.08619293478259354,0.08547876200661686,0.08567483544700738,0.08693161480642787,0.08639766894482084,0.08619276985991742,0.08547854620327154,0.08567464638121056,0.08693145056204181,0.0863975476043484,0.5621607773238805,0.023419345324325432,0.10032442219503279,0.4330980917474438,1.2604199265627878,410624,400,,,,,,,,,,,,,,,
1.7078459346243788,0.08381534327054412,0.08267093090723811,0.08348368393508473,0.08333855077621467,0.08501431957143407,0.08381517848465588,0.08267071397425652,0.08348349484257535,0.08333838761307748,0.08501419799621182,0.5496028675785032,0.03761841178869574,0.09077619663519687,0.382593590072361,1.24866559395198,431104,420,,,,,,,,,,,,,,,
1.709344724918204,0.08167583844718576,0.07897688620365571,0.08149371168438235,0.08162688810858898,0.08335981214139568,0.08167567280879307,0.07897666398366637,0.08149352216818898,0.08162672506743818,0.08335969214551998,0.5358055818768719,0.011110633960998534,0.08582901521542864,0.36570389329370045,1.2498008598552903,451584,440,,,,,,,,,,,,,,,
2.084734832699423,0.0791238742705902,0.07935072321649836,0.07919890496157046,0.07847235956683565,0.07942139081962639,0.07912370901613008,0.0793504971515074,0.07919871472100881,0.07847219700664532,0.07942127175534891,0.5159618913749014,0.02756124338620142,0.07052743969453408,0.3509017957854983,1.1750941705372309,472064,460,,,,,,,,,,,,,,,
2.292152451455707,0.07761456340085719,0.07699624474234794,0.07676482310711086,0.07753446078328488,0.07849335499103788,0.07761439831228945,0.07699601748545999,0.07676463141786417,0.07753429672897119,0.078493236969943,0.526550531090469,0.006887001707932469,0.07086750344425607,0.3427783095529339,1.1910170693309126,492544,480,,,,,,,,,,,,,,,
1.8107273010650844,0.07547891967697068,0.07540531577562128,0.0743487233943731,0.07567545096991216,0.07607676207238682,0.07547875426826088,0.07540508675591791,0.074348530402383,0.07567528717110292,0.07607664583465641,0.5021646034483618,0.00764054585183468,0.05132100476628159,0.33041838622044906,1.159079810432029,513024,500,,,,,,,,,,,,,,,
1.9123177019767317,0.07421570425503884,0.07256869087468097,0.07429705029018338,0.07425547193116415,0.07497927185762292,0.0742155396554154,0.07256845981220766,0.07429685805761956,0.07425530984774874,0.0749791548950447,0.5046954920340807,0.006616133814209038,0.05764209775598174,0.3209582205002433,1.1431141690040187,533504,520,,,,,,,,,,,,,,,
1.7800485933873353,0.07271635238721481,0.07216793958841956,0.07267929948179673,0.07253164884944739,0.07314160902256044,0.07271618767990727,0.07216770392515308,0.07267910818642331,0.07253148555969739,0.07314149441099095,0.4938300173205779,0.004980474808287321,0.05651408124889747,0.30905076872645076,1.127446369867248,553984,540,,,,,,,,,,,,,,,
